State,Year,Medicaid_Spending,Median_Income
Montana,2049,12303.236480293213,127925.99450045824
Montana,2050,12587.73235563701,130188.33180568274
Nebraska,2021,4262.694095075683,72626.38761153631
Nebraska,2022,4374.594969089754,74769.12446325831
Nebraska,2023,4486.495843103825,76911.86131498031
Nebraska,2024,4598.396717117896,79054.59816670232
Nebraska,2025,4710.297591131966,81197.33501842525
Nebraska,2026,4822.198465146037,83340.07187014725
Nebraska,2027,4934.099339160108,85482.80872186925
Nebraska,2028,5046.0002131741785,87625.54557359125
Nebraska,2029,5157.901087188249,89768.28242531326
Nebraska,2030,5269.80196120232,91911.01927703526
Nebraska,2031,5381.702835216391,94053.75612875726
Nebraska,2032,5493.603709230461,96196.4929804802
Nebraska,2033,5605.504583244532,98339.2298322022
Nebraska,2034,5717.405457258603,100481.9666839242
Nebraska,2035,5829.306331272674,102624.7035356462
Nebraska,2036,5941.207205286744,104767.4403873682
Nebraska,2037,6053.108079300786,106910.1772390902
Nebraska,2038,6165.008953314857,109052.9140908122
Nebraska,2039,6276.909827328927,111195.65094253514
Nebraska,2040,6388.810701342998,113338.38779425714
Nebraska,2041,6500.711575357069,115481.12464597914
Nebraska,2042,6612.6124493711395,117623.86149770115
Nebraska,2043,6724.51332338521,119766.59834942315
Nebraska,2044,6836.414197399281,121909.33520114515
Nebraska,2045,6948.315071413352,124052.07205286808
Nebraska,2046,7060.215945427422,126194.80890459009
Nebraska,2047,7172.116819441493,128337.54575631209
Nebraska,2048,7284.017693455564,130480.28260803409
Nebraska,2049,7395.918567469635,132623.0194597561
Nebraska,2050,7507.819441483705,134765.7563114781
Nevada,2021,8653.601143284934,67895.98761441372
Nevada,2022,9243.003879002528,70234.95797747467
Nevada,2023,9832.40661471989,72573.92834053561
Nevada,2024,10421.809350437252,74912.89870359655
Nevada,2025,11011.212086154846,77251.8690666575
Nevada,2026,11600.614821872208,79590.83942971844
Nevada,2027,12190.01755758957,81929.80979278032
Nevada,2028,12779.420293307165,84268.78015584126
Nevada,2029,13368.823029024526,86607.7505189022
Nevada,2030,13958.225764742121,88946.72088196315
Nevada,2031,14547.628500459483,91285.69124502409
Nevada,2032,15137.031236176845,93624.66160808504
Nevada,2033,15726.43397189444,95963.63197114598
Nevada,2034,16315.836707611801,98302.60233420692
Nevada,2035,16905.239443329163,100641.57269726787
Nevada,2036,17494.642179046758,102980.54306032881
Nevada,2037,18084.04491476412,105319.51342338976
Nevada,2038,18673.44765048148,107658.4837864507
Nevada,2039,19262.850386199076,109997.45414951164
Nevada,2040,19852.253121916438,112336.42451257259
Nevada,2041,20441.6558576338,114675.39487563446
Nevada,2042,21031.058593351394,117014.3652386954
Nevada,2043,21620.461329068756,119353.33560175635
Nevada,2044,22209.86406478635,121692.3059648173
Nevada,2045,22799.266800503712,124031.27632787824
Nevada,2046,23388.669536221074,126370.24669093918
Nevada,2047,23978.07227193867,128709.21705400012
